date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,
06:47:43 02.07.25,1751438863,27,male,stem,stem,0-1,visual,brief,UID_Hg08dP61na51ZM56rQ,
07:14:54 02.07.25,1751440494,27,male,non-stem,non-stem,1-2,visual,brief,UID_TB24Xd47rO50uC82bW,
07:39:52 02.07.25,1751441992,25,male,stem,stem,3-4,visual,detailed,UID_qC25No67vP11AB03bR,
10:03:08 02.07.25,1751450588,26,male,stem,stem,1-2,visual,detailed,UID_Xc25bq55Ic87Qs53bk,
12:05:05 02.07.25,1751457905,28,female,stem,stem,0-1,visual,brief,UID_Iv20VI44US80dS78xY,
12:44:54 02.07.25,1751460294,27,male,stem,stem,1-2,visual,brief,UID_wB23Fp88kp97MH01LP,
07:57:20 03.07.25,1751529440,56,female,stem,stem,1-2,textual,detailed,UID_zJ06Xm51mv59uw34ZF,
07:58:13 03.07.25,1751529493,34,male,stem,stem,1-2,textual,detailed,UID_Eb25VY43sm07Yf87ww,
11:59:13 03.07.25,1751543953,26,female,stem,stem,1-2,visual,detailed,UID_tL21Td42TW96jx50JE,
14:09:18 03.07.25,1751551758,37,male,stem,stem,1-2,visual,detailed,UID_UA64iV84bd20uJ55aO,
17:09:50 03.07.25,1751562590,28,male,stem,stem,1-2,visual,brief,UID_vL31FS86ri66rZ14sT,
18:04:21 03.07.25,1751565861,34,male,stem,stem,3-4,textual,detailed,UID_EI38ib82HG46fU08oR,
04:49:08 04.07.25,1751604548,32,female,stem,stem,3-4,textual,brief,UID_Rs55MY88wb21UN85TJ,
07:40:20 04.07.25,1751614820,30,female,stem,stem,1-2,visual,brief,UID_cj57ak27iy05YN35ss,
13:59:55 04.07.25,1751637595,29,female,stem,non-stem,1-2,textual,brief,UID_Dq81al47Ej35mF08WN,
19:26:57 04.07.25,1751657217,33,male,stem,non-stem,1-2,visual,detailed,UID_Sh35Zq77op98yU87nc,
05:39:58 06.07.25,1751780398,25,male,stem,stem,3-4,visual,brief,UID_ZV94Gd16sF84aL62eH,
07:34:36 06.07.25,1751787276,27,male,stem,stem,5,visual,brief,UID_pk73wE89io45VZ91BF,
09:53:42 06.07.25,1751795622,26,male,stem,stem,1-2,visual,detailed,UID_Pv48eG17sn92Ge75sg,
10:41:39 06.07.25,1751798499,27,male,stem,stem,1-2,textual,brief,UID_CF02vC74Pc64Kl17qk,
14:03:18 06.07.25,1751810598,26,male,stem,stem,1-2,visual,detailed,UID_FG46xu58JO11lz44dt,
16:03:12 06.07.25,1751817792,20,male,stem,stem,1-2,textual,brief,UID_mC27mn99vZ72Ix97hE,
16:38:00 06.07.25,1751819880,22,male,stem,stem,3-4,visual,brief,UID_zx46vz31og35Jx66RA,
17:21:03 06.07.25,1751822463,27,male,stem,stem,5,visual,brief,UID_Fy84yY21tb83BJ62mg,
