date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,IdNumber,
21:13:48 16.09.25,1758057228,28,female,stem,stem,1-2,visual,detailed,UID_OK52uh59yc17Gg38pe,,
22:30:56 16.09.25,1758061856,19,male,stem,stem,1-2,visual,detailed,UID_CQ55id42YA22Bu97pp,,
22:53:21 16.09.25,1758063201,25,male,stem,stem,3-4,textual,detailed,UID_rG08eO82Em45tY61kJ,,
00:11:56 17.09.25,1758067916,27,male,stem,stem,1-2,textual,detailed,UID_lZ99Om05Aw28dC75VO,,
00:22:50 17.09.25,1758068570,29,female,stem,non-stem,1-2,visual,brief,UID_Op14Zg81Cu60eo02dG,,
02:47:05 25.09.25,1758768425,24,male,stem,stem,3-4,visual,detailed,UID_pT31JK49dd29dQ77Fc,,
01:29:10 26.09.25,1758850150,34,male,stem,stem,1-2,textual,brief,UID_LC34wX85kB05oR78lK,,
09:50:38 30.09.25,1759225838,37,male,stem,stem,3-4,textual,brief,UID_pC09RY22rU75HT50pE,,
10:58:57 30.09.25,1759229937,21,male,stem,stem,3-4,textual,brief,UID_IV46ki45Ns09xg99eK,,
10:00:32 03.10.25,1759485632,30,female,stem,stem,1-2,textual,brief,UID_ab60IH48Gb39WA55eu,,
13:51:29 03.10.25,1759499489,27,male,stem,stem,3-4,visual,brief,UID_sl03tl00xA53dG47Ad,,
14:13:38 04.10.25,1759587218,30,female,stem,stem,3-4,visual,brief,UID_Mr19Ag83hs40Ww88Ss,,
17:46:00 04.10.25,1759599960,22,male,stem,stem,3-4,visual,brief,UID_dq11Qq12gf39rm62MI,,
16:30:40 05.10.25,1759681840,27,male,stem,stem,1-2,textual,brief,UID_tS40Mq77cQ54TK32dV,,
17:27:39 05.10.25,1759685259,27,male,stem,stem,3-4,textual,brief,UID_qG24UT89rb01jB93TU,,
18:38:09 05.10.25,1759689489,27,male,non-stem,non-stem,1-2,visual,detailed,UID_pP56OU88PB03mL78ZL,,
20:29:44 08.10.25,1759955384,25,female,stem,stem,0-1,textual,detailed,UID_OC09Er73lU92HM74lj,,
20:34:17 08.10.25,1759955657,28,female,non-stem,non-stem,1-2,textual,detailed,UID_lL50wb46bB48Jr80GT,,
20:36:43 08.10.25,1759955803,31,female,non-stem,non-stem,0-1,textual,brief,UID_EO26sR04rI32WU96By,,
20:39:31 08.10.25,1759955971,32,male,stem,non-stem,3-4,visual,brief,UID_Kp28sm07ej71ZA49ix,,
