tuid,ugroup,explanationType,faceSelected,selectedShapeIndex,predictedShapeChoiceIndex,trueShapeChoiceIndex,isCorrectPrediction,stepActionType,param1,param2,param3,param4,blockId,actionName,objectLogName,date,time
UID_Hg08dP61na51ZM56rQ,E,,3,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,06:51:29 02.07.25,1751439089
UID_Hg08dP61na51ZM56rQ,E,,4,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,06:52:36 02.07.25,1751439156
UID_Hg08dP61na51ZM56rQ,E,,4,6,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,06:53:30 02.07.25,1751439210
UID_Hg08dP61na51ZM56rQ,E,,4,2,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,06:54:49 02.07.25,1751439289
UID_Hg08dP61na51ZM56rQ,E,,5,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,06:56:06 02.07.25,1751439366
UID_Hg08dP61na51ZM56rQ,E,,2,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,06:57:43 02.07.25,1751439463
UID_Hg08dP61na51ZM56rQ,E,,5,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,06:59:12 02.07.25,1751439552
UID_Hg08dP61na51ZM56rQ,E,,5,6,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,06:59:45 02.07.25,1751439585
UID_Hg08dP61na51ZM56rQ,E,,1,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,07:02:08 02.07.25,1751439728
UID_Hg08dP61na51ZM56rQ,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,07:02:33 02.07.25,1751439753
UID_TB24Xd47rO50uC82bW,E,,4,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,07:19:13 02.07.25,1751440753
UID_TB24Xd47rO50uC82bW,E,,3,8,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,07:21:25 02.07.25,1751440885
UID_TB24Xd47rO50uC82bW,E,,3,8,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,07:22:43 02.07.25,1751440963
UID_TB24Xd47rO50uC82bW,E,,3,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,07:23:41 02.07.25,1751441021
UID_TB24Xd47rO50uC82bW,E,,3,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,07:24:19 02.07.25,1751441059
UID_TB24Xd47rO50uC82bW,E,,5,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,07:26:51 02.07.25,1751441211
UID_TB24Xd47rO50uC82bW,E,,4,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,07:28:00 02.07.25,1751441280
UID_TB24Xd47rO50uC82bW,E,,3,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,07:29:13 02.07.25,1751441353
UID_TB24Xd47rO50uC82bW,E,,3,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,07:30:06 02.07.25,1751441406
UID_TB24Xd47rO50uC82bW,E,,3,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,07:30:35 02.07.25,1751441435
