date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,
15:05:10 04.06.25,1749049510,28,male,stem,stem,3-4,textual,brief,UID_Sp59WX69Ls96IJ56yH,
15:05:40 04.06.25,1749049540,29,male,stem,stem,1-2,visual,brief,UID_bv13An42XI68xl08lQ,
15:05:43 04.06.25,1749049543,26,male,stem,stem,1-2,visual,brief,UID_zv91uL38jb94JM58Jd,
15:05:45 04.06.25,1749049545,28,male,stem,stem,3-4,textual,detailed,UID_ew60Nc39UF65Cn93Gi,
15:05:46 04.06.25,1749049546,28,male,stem,stem,3-4,visual,brief,UID_GC64QU46gM94GA17IQ,
15:06:54 04.06.25,1749049614,28,male,stem,stem,1-2,visual,brief,UID_Gz29hR95Pg54Iw09AL,
15:07:25 04.06.25,1749049645,28,male,stem,stem,0-1,textual,brief,UID_iQ88Eg36pD60mG02Fi,
15:12:15 04.06.25,1749049935,28,male,stem,stem,1-2,visual,brief,UID_ml46KH20Ef19wE69ad,
18:10:05 04.06.25,1749060605,27,male,stem,stem,1-2,visual,brief,UID_bY03gB60nF38Xm20yU,
18:10:30 04.06.25,1749060630,24,female,stem,stem,1-2,visual,detailed,UID_cZ66ys08Pp83MP90Yn,
18:10:53 04.06.25,1749060653,46,male,stem,stem,1-2,visual,detailed,UID_dt16PS61Pa60Hz23QY,
18:10:53 04.06.25,1749060653,30,male,stem,stem,3-4,visual,brief,UID_vN82jC05RX72Hp99nU,
18:11:08 04.06.25,1749060668,24,male,stem,stem,1-2,visual,brief,UID_NB30mT87Ki02rP44pa,
18:11:38 04.06.25,1749060698,20,female,stem,stem,1-2,textual,brief,UID_AL87Ek96Sq47GP20Gk,
18:17:25 04.06.25,1749061045,31,male,stem,stem,1-2,visual,brief,UID_dn81wI23py15XB17bW,
18:17:43 04.06.25,1749061063,24,female,stem,stem,0-1,textual,detailed,UID_sL45mf59ta49IG93FU,
18:22:56 04.06.25,1749061376,46,male,stem,stem,1-2,visual,detailed,UID_yW06op21oz88Ax27vy,
18:23:54 04.06.25,1749061434,46,male,stem,stem,1-2,visual,detailed,UID_ts69be52vm45mk32Ao,
18:35:18 04.06.25,1749062118,46,male,stem,stem,1-2,visual,detailed,UID_fQ41dE04fP47pK90FA,
19:15:36 04.06.25,1749064536,30,female,stem,stem,0-1,visual,brief,UID_Ps14Kg70eD49ZP43Wx,
09:06:20 05.06.25,1749114380,23,male,stem,stem,1-2,visual,brief,UID_Fb37gA28UX85eP92VG,
09:09:09 05.06.25,1749114549,22,female,stem,stem,1-2,visual,brief,UID_Cm44VX12kN77eW40XE,
09:14:17 05.06.25,1749114857,23,male,stem,stem,0-1,visual,brief,UID_xb17Ox51pV61Cj23td,
09:15:04 05.06.25,1749114904,24,male,stem,stem,1-2,textual,brief,UID_mz88Xt41La41zr36kB,
09:16:44 05.06.25,1749115004,24,female,stem,stem,1-2,visual,detailed,UID_BH58Mu27El51En52JH,
09:17:49 05.06.25,1749115069,35,male,stem,stem,1-2,visual,detailed,UID_Vl48Oi40Lt34vN69pb,
09:18:08 05.06.25,1749115088,27,male,stem,stem,1-2,visual,brief,UID_pG61Tz63bZ82eQ76jX,
09:19:10 05.06.25,1749115150,28,female,stem,stem,1-2,textual,brief,UID_Za52yB44Cr49Gn15Ta,
09:57:01 05.06.25,1749117421,26,male,stem,stem,0-1,visual,brief,UID_By02ns11Lv64xM09IR,
10:11:00 05.06.25,1749118260,26,male,stem,stem,0-1,visual,brief,UID_CC86nM66ZW38pf99WH,
10:32:52 05.06.25,1749119572,23,female,stem,stem,1-2,textual,brief,UID_Or97rR19zm25Vx62fY,
10:34:14 05.06.25,1749119654,23,female,stem,stem,1-2,textual,brief,UID_Ze37Xr41oo26Tt92ZV,
15:22:43 05.06.25,1749136963,27,male,stem,stem,1-2,textual,brief,UID_uE88nk13NQ49Uf45OT,
05:30:54 12.06.25,1749706254,25,female,stem,stem,1-2,visual,brief,UID_oe86yg29Ri55bR31yK,
