Unnamed: 0,tuid,ugroup,explanationType,faceSelected,selectedShapeIndex,predictedShapeChoiceIndex,trueShapeChoiceIndex,isCorrectPrediction,stepActionType,param1,param2,param3,param4,blockId,actionName,objectLogName,date,time
0,UID_rj59nL25EH19rF46jo,A,,4,3.0,1.0,1.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,11:15:14 19.06.25,1750331714.0
1,UID_rj59nL25EH19rF46jo,A,,3,8.0,1.0,1.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,11:15:37 19.06.25,1750331737.0
2,UID_rj59nL25EH19rF46jo,A,,3,3.0,4.0,4.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,11:16:01 19.06.25,1750331761.0
3,UID_rj59nL25EH19rF46jo,A,,5,6.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,11:16:08 19.06.25,1750331768.0
4,UID_rj59nL25EH19rF46jo,A,,3,3.0,7.0,7.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,11:16:27 19.06.25,1750331787.0
5,UID_rj59nL25EH19rF46jo,A,,3,2.0,8.0,8.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,11:16:40 19.06.25,1750331800.0
6,UID_Kg13Va55iT81Jq55RY,A,,5,8.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,11:16:45 19.06.25,1750331805.0
7,UID_Rx55Xl96rW71zA44TK,A,,3,4.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,11:16:46 19.06.25,1750331806.0
8,UID_rj59nL25EH19rF46jo,A,,2,8.0,6.0,6.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,11:17:07 19.06.25,1750331827.0
9,UID_Xx76qm82DB76Ga15fq,A,,4,2.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,11:17:15 19.06.25,1750331835.0
10,UID_rj59nL25EH19rF46jo,A,,4,5.0,5.0,5.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,11:17:16 19.06.25,1750331836.0
11,UID_rj59nL25EH19rF46jo,A,,5,7.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,11:17:28 19.06.25,1750331848.0
12,UID_rj59nL25EH19rF46jo,A,,2,6.0,7.0,7.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,11:17:44 19.06.25,1750331864.0
13,UID_qC92JB80mh61lR07aE,A,,4,6.0,2.0,2.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,11:17:58 19.06.25,1750331878.0
14,UID_CT33tu96yv17Iu86sK,A,,3,1.0,1.0,1.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,11:18:07 19.06.25,1750331887.0
15,UID_xL66OA69qG55ri55Og,A,,2,3.0,6.0,6.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,11:18:25 19.06.25,1750331905.0
16,UID_Rx55Xl96rW71zA44TK,A,,3,3.0,6.0,6.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,11:19:04 19.06.25,1750331944.0
17,UID_GA00BF10NH15Ca10Us,A,,1,6.0,1.0,1.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,11:19:18 19.06.25,1750331958.0
18,UID_Kg13Va55iT81Jq55RY,A,,4,2.0,8.0,8.0,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,11:19:20 19.06.25,1750331960.0
