,date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,Unnamed: 10
0,10:14:32 19.06.25,1750328072,24,female,stem,stem,1-2,visual,detailed,UID_gs42ad07Lr70lO46pH,
1,11:11:30 19.06.25,1750331490,18,male,stem,stem,1-2,visual,detailed,UID_Xx76qm82DB76Ga15fq,
2,11:12:00 19.06.25,1750331520,20,male,stem,stem,1-2,visual,brief,UID_CT33tu96yv17Iu86sK,
3,11:13:15 19.06.25,1750331595,15,male,stem,stem,3-4,textual,brief,UID_Ug01VR29PB69TS26gU,
4,11:13:17 19.06.25,1750331597,28,male,stem,stem,3-4,visual,detailed,UID_iL80HF24ty54Qe43NU,
5,11:13:26 19.06.25,1750331606,18,male,stem,stem,1-2,textual,brief,UID_xL66OA69qG55ri55Og,
6,11:13:32 19.06.25,1750331612,18,male,stem,stem,1-2,textual,detailed,UID_Rx55Xl96rW71zA44TK,
7,11:13:50 19.06.25,1750331630,25,male,stem,stem,1-2,textual,detailed,UID_rj59nL25EH19rF46jo,
8,11:13:51 19.06.25,1750331631,18,female,stem,stem,0-1,visual,brief,UID_Kg13Va55iT81Jq55RY,
9,11:14:27 19.06.25,1750331667,22,female,stem,stem,3-4,textual,brief,UID_sq80Gk64OB79dg81LI,
10,11:15:03 19.06.25,1750331703,19,female,stem,stem,1-2,visual,detailed,UID_qC92JB80mh61lR07aE,
11,11:15:16 19.06.25,1750331716,21,female,stem,stem,1-2,textual,detailed,UID_GA00BF10NH15Ca10Us,
12,11:22:30 19.06.25,1750332150,22,female,stem,stem,3-4,textual,brief,UID_Hq25Jt87oi21xO87Yu,
13,11:23:18 19.06.25,1750332198,20,female,stem,stem,1-2,textual,detailed,UID_Om41Rr26Ls98ix55PU,
14,11:24:49 19.06.25,1750332289,18,male,stem,stem,0-1,textual,detailed,UID_zf63Yb21yM72NL83ye,
15,11:59:44 19.06.25,1750334384,24,female,stem,stem,1-2,visual,detailed,UID_dp68Dy20Sq41DS53Yy,
16,15:12:32 19.06.25,1750345952,25,male,stem,stem,1-2,visual,brief,UID_qj76Bi60Df69YZ33Av,
17,18:06:18 19.06.25,1750356378,31,male,stem,stem,1-2,visual,brief,UID_Bj78ji34MB49sP45MG,
18,07:06:58 22.06.25,1750576018,20,male,stem,stem,1-2,textual,brief,UID_Ci04yT79Cp30Qd09qQ,
